date,open,high,low,close,volume
2025-07-09 10:35:00,209.05,209.13,208.79,209.13,609171.0
2025-07-09 10:30:00,209.9,209.9,208.77,209.04,1058768.0
2025-07-09 10:25:00,209.74,209.98,209.63,209.91,443950.0
2025-07-09 10:20:00,209.98,210.16,209.59,209.74,433270.0
2025-07-09 10:15:00,209.98,210.25,209.94,209.97,390696.0
2025-07-09 10:10:00,210.33,210.49,209.91,209.98,587354.0
2025-07-09 10:05:00,210.03,210.49,210.01,210.37,513955.0
2025-07-09 10:00:00,209.88,210.23,209.73,210.05,670204.0
2025-07-09 09:55:00,210.15,210.19,209.79,209.86,605307.0
2025-07-09 09:50:00,210.2,210.34,209.84,210.15,622066.0
2025-07-09 09:45:00,209.89,210.19,209.59,210.19,702670.0
2025-07-09 09:40:00,210.08,210.25,209.48,209.9,851027.0
2025-07-09 09:35:00,210.6,210.7,209.73,210.08,909933.0
2025-07-09 09:30:00,209.46,210.89,209.35,210.57,2262517.0
2025-07-08 15:55:00,210.1,210.28,209.77,210.01,2131907.0
2025-07-08 15:50:00,209.7,210.83,209.7,210.1,1140482.0
2025-07-08 15:45:00,209.53,209.72,209.48,209.7,356440.0
2025-07-08 15:40:00,209.41,209.55,209.3,209.52,849181.0
2025-07-08 15:35:00,209.63,209.65,209.41,209.42,343866.0
2025-07-08 15:30:00,209.6,209.69,209.54,209.61,299264.0
2025-07-08 15:25:00,209.44,209.66,209.41,209.6,256068.0
2025-07-08 15:20:00,209.56,209.58,209.43,209.44,298842.0
2025-07-08 15:15:00,209.5,209.63,209.48,209.58,194558.0
2025-07-08 15:10:00,209.61,209.66,209.43,209.52,313886.0
2025-07-08 15:05:00,209.61,209.73,209.49,209.65,224962.0
2025-07-08 15:00:00,209.7,209.7,209.49,209.61,192154.0
2025-07-08 14:55:00,209.75,209.84,209.64,209.7,184944.0
2025-07-08 14:50:00,209.82,209.9,209.74,209.74,164028.0
2025-07-08 14:45:00,209.69,209.87,209.55,209.82,237007.0
2025-07-08 14:40:00,210.03,210.03,209.68,209.69,203036.0
2025-07-08 14:35:00,209.82,210.04,209.8,210.04,166999.0
2025-07-08 14:30:00,209.95,209.95,209.72,209.83,200198.0
2025-07-08 14:25:00,210.15,210.15,209.9,209.95,180788.0
